miRNA,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
pme-miR-217a-5p,77.5638,-2.0653,0.679399,-3.0398,0.002367151,0.008855931
pme-miR-182b-5p,738.5114,-0.6912,0.227756,-3.0347,0.002407673,0.008902793
pme-miR-200b-3p,19333.7610,-0.3273,0.108037,-3.0298,0.002447313,0.008945349
pme-miR-301-3p,1695.0217,0.5792,0.191647,3.0220,0.002511355,0.009075125
pme-miR-152a-3p,1698.3029,0.4810,0.159416,3.0174,0.002549601,0.009109809
pme-miR-23b-2-3p,7811.5373,0.4465,0.148591,3.0051,0.002655178,0.00938163
pme-miR-1788-3p,1992.8252,0.5640,0.189927,2.9694,0.002984123,0.010428035
pme-miR-100-5p,18678.8417,-0.3693,0.124986,-2.9550,0.00312667,0.010807402
pme-miR-135c-5p,10.2316,-1.6382,0.557467,-2.9387,0.003296173,0.011270786
pme-miR-129-5p,65.2914,-0.9134,0.311543,-2.9319,0.003369402,0.011398616
pme-miR-26a-1a-3p,5.0122,-2.0888,0.719481,-2.9032,0.003693677,0.012364097
pme-miR-222-3p,17614.1485,-0.3994,0.139178,-2.8694,0.004111939,0.013620799
pme-miR-191-5p,656638.6740,-0.3831,0.134228,-2.8540,0.004317329,0.014153719
pme-miR-30c-1-5p,47398.1430,-0.4175,0.149026,-2.8013,0.005090278,0.016517432
pme-miR-21b-3p,330.5545,0.5615,0.201858,2.7817,0.005406724,0.017367052
pme-miR-24-6-5p,269.7192,0.3337,0.121112,2.7555,0.005861112,0.018638335
pme-miR-125b-5p,11621.7759,-0.3461,0.126431,-2.7371,0.006198193,0.019515102
pme-miR-221a-5p,303.3954,-0.3213,0.119222,-2.6946,0.007047364,0.021874114
pme-miR-27b-3p,147947.3464,0.3494,0.129912,2.6898,0.007149903,0.021874114
pme-miR-7133-3p,91.0869,0.9669,0.359506,2.6896,0.007153798,0.021874114
pme-miR-7133-5p,183.2042,0.7536,0.283390,2.6593,0.007830291,0.023714595
pme-miR-451-5p,73023.4686,0.5990,0.226212,2.6480,0.008096801,0.024290403
pme-miR-142-5p,42805.6207,0.6009,0.229599,2.6171,0.008867127,0.026352769
pme-miR-126b-5p,17377.6204,0.3930,0.150788,2.6065,0.009147588,0.026934564
pme-miR-128-2-5p,8.8197,-1.3948,0.536894,-2.5980,0.009377049,0.027356896
pme-let-7j-3p,799.2526,0.3085,0.119155,2.5888,0.009631322,0.027843276
pme-miR-146a-3p,737.1101,0.4793,0.185741,2.5806,0.009864063,0.028259208
pme-miR-148a-3p,4016.9444,0.4541,0.177931,2.5521,0.010708889,0.030405597
pme-miR-214b-5p,23.6419,0.8810,0.350507,2.5134,0.01195681,0.033365936
