ENSPMEG00000011679,ENSPMEG00000011679.1,ENSPMET00000000181,ENSPMET00000000181.1
ENSPMEG00000000230,ENSPMEG00000000230.1,ENSPMET00000000251,ENSPMET00000000251.1
ENSPMEG00000011657,ENSPMEG00000011657.1,ENSPMET00000000208,ENSPMET00000000208.1
ENSPMEG00000011701,ENSPMEG00000011701.1,ENSPMET00000000190,ENSPMET00000000190.1
ENSPMEG00000011644,ENSPMEG00000011644.1,ENSPMET00000000300,ENSPMET00000000300.1
ENSPMEG00000011625,ENSPMEG00000011625.1,ENSPMET00000000271,ENSPMET00000000271.1
ENSPMEG00000011610,ENSPMEG00000011610.1,ENSPMET00000000305,ENSPMET00000000305.1
ENSPMEG00000012088,ENSPMEG00000012088.1,ENSPMET00000000199,ENSPMET00000000199.1
ENSPMEG00000011783,ENSPMEG00000011783.1,ENSPMET00000000234,ENSPMET00000000234.1
ENSPMEG00000011685,ENSPMEG00000011685.1,ENSPMET00000000183,ENSPMET00000000183.1
ENSPMEG00000011621,ENSPMEG00000011621.1,ENSPMET00000000289,ENSPMET00000000289.1
ENSPMEG00000011792,ENSPMEG00000011792.1,ENSPMET00000000202,ENSPMET00000000202.1
ENSPMEG00000000234,ENSPMEG00000000234.1,ENSPMET00000000197,ENSPMET00000000197.1
ENSPMEG00000011615,ENSPMEG00000011615.1,ENSPMET00000000287,ENSPMET00000000287.1
ENSPMEG00000011635,ENSPMEG00000011635.1,ENSPMET00000000253,ENSPMET00000000253.1
ENSPMEG00000011879,ENSPMEG00000011879.1,ENSPMET00000000229,ENSPMET00000000229.1
ENSPMEG00000011667,ENSPMEG00000011667.1,ENSPMET00000000286,ENSPMET00000000286.1
ENSPMEG00000011668,ENSPMEG00000011668.1,ENSPMET00000000196,ENSPMET00000000196.1
ENSPMEG00000011879,ENSPMEG00000011879.1,ENSPMET00000000237,ENSPMET00000000237.1
ENSPMEG00000011783,ENSPMEG00000011783.1,ENSPMET00000000224,ENSPMET00000000224.1
ENSPMEG00000011642,ENSPMEG00000011642.1,ENSPMET00000000236,ENSPMET00000000236.1
ENSPMEG00000011655,ENSPMEG00000011655.1,ENSPMET00000000211,ENSPMET00000000211.1
ENSPMEG00000011699,ENSPMEG00000011699.1,ENSPMET00000000198,ENSPMET00000000198.1
ENSPMEG00000011665,ENSPMEG00000011665.1,ENSPMET00000000205,ENSPMET00000000205.1
ENSPMEG00000011613,ENSPMEG00000011613.1,ENSPMET00000000288,ENSPMET00000000288.1
ENSPMEG00000011783,ENSPMEG00000011783.1,ENSPMET00000000239,ENSPMET00000000239.1
ENSPMEG00000011618,ENSPMEG00000011618.1,ENSPMET00000000284,ENSPMET00000000284.1
ENSPMEG00000011479,ENSPMEG00000011479.1,ENSPMET00000000528,ENSPMET00000000528.1
ENSPMEG00000011487,ENSPMEG00000011487.1,ENSPMET00000000524,ENSPMET00000000524.1
ENSPMEG00000011510,ENSPMEG00000011510.1,ENSPMET00000000444,ENSPMET00000000444.1
ENSPMEG00000011566,ENSPMEG00000011566.1,ENSPMET00000000391,ENSPMET00000000391.1
ENSPMEG00000011429,ENSPMEG00000011429.1,ENSPMET00000000584,ENSPMET00000000584.1
ENSPMEG00000011424,ENSPMEG00000011424.1,ENSPMET00000000588,ENSPMET00000000588.1
ENSPMEG00000011501,ENSPMEG00000011501.1,ENSPMET00000000459,ENSPMET00000000459.1
ENSPMEG00000011486,ENSPMEG00000011486.1,ENSPMET00000000467,ENSPMET00000000467.1
ENSPMEG00000000865,ENSPMEG00000000865.1,ENSPMET00000000538,ENSPMET00000000538.1
ENSPMEG00000011630,ENSPMEG00000011630.1,ENSPMET00000000410,ENSPMET00000000410.1
ENSPMEG00000011653,ENSPMEG00000011653.1,ENSPMET00000000341,ENSPMET00000000341.1
ENSPMEG00000011501,ENSPMEG00000011501.1,ENSPMET00000000466,ENSPMET00000000466.1
ENSPMEG00000011499,ENSPMEG00000011499.1,ENSPMET00000000494,ENSPMET00000000494.1
ENSPMEG00000011588,ENSPMEG00000011588.1,ENSPMET00000000330,ENSPMET00000000330.1
ENSPMEG00000011488,ENSPMEG00000011488.1,ENSPMET00000000498,ENSPMET00000000498.1
ENSPMEG00000011644,ENSPMEG00000011644.1,ENSPMET00000000311,ENSPMET00000000311.1
ENSPMEG00000011416,ENSPMEG00000011416.1,ENSPMET00000000591,ENSPMET00000000591.1
ENSPMEG00000011414,ENSPMEG00000011414.1,ENSPMET00000000600,ENSPMET00000000600.1
ENSPMEG00000011549,ENSPMEG00000011549.1,ENSPMET00000000384,ENSPMET00000000384.1
ENSPMEG00000011541,ENSPMEG00000011541.1,ENSPMET00000000388,ENSPMET00000000388.1
ENSPMEG00000011507,ENSPMEG00000011507.1,ENSPMET00000000452,ENSPMET00000000452.1
ENSPMEG00000011489,ENSPMEG00000011489.1,ENSPMET00000000465,ENSPMET00000000465.1
ENSPMEG00000011591,ENSPMEG00000011591.1,ENSPMET00000000324,ENSPMET00000000324.1
ENSPMEG00000011407,ENSPMEG00000011407.1,ENSPMET00000000628,ENSPMET00000000628.1
